会う,あう
同じ,おなじ
大事,だいじ
自分,じぶん
会社,かいしゃ
出発,しゅっぱつ
業者,ぎょうしゃ
地方,ちほう
事業,じぎょう
仕方ない,しかたない
新しい,あたらしい
場合,ばあい
会社員,かいしゃいん
立つ,たつ
開く,きく
手をあげる,てをあげる
体力,たいりょく
問題,もんだい
代わる,かわる
明日,あした
動く,うごく
東京,とうきょう
目,め
通る,とおる
言う,いう
理かい,りかい
体,からだ
田んぼ,たんぼ
主人,しゅじん
問題,もんだい
意外,いがい
不安,ふあん
作る,つくる
用事,ようじ
二度と,にどと
強力,きょうりょく
公園,こうえん
持つ,もつ
野球,やきゅう
以外,いがい
思う,おもう
家の中,いえのなか
一分間,いっぷんかん
多い,おおい
正しい,ただしい
安い,やすい
病院,びょういん
安心,あんしん
世界,せかい
教える,おしえる
文字,もじ
元気,げんき
重い,おもい
近い,ちかい
考える,かんがえる
映画,えいが
海をおよぐ,うみをおよぐ
売る,うる
お知らせ,おしらせ
道,みち
集まる,あつまる
別れる,わかれる
食べ物,たべもの
使う,つかう
品川,しながわ
計る,はかる
死ぬ,しぬ
特別,とくべつ
私,わたし
始める,はじめる
朝,あさ
運ぶ,はこぶ
終わる,おわる
台風,たいふう
広い,ひろい
住む,すむ
真実,しんじつ
有料,ゆうりょう
出口,でぐち
少ない,すくない
私が住む町,わたしがすむまち
料理,りょうり
工事,こうじ
建てる,たてる
空,そら
急ぐ,いそぐ
止まる,とまる
送る,おくる
切ない,せつない
転ぶ,ころぶ
研究,けんきゅう
不足,ふそく
研究,けんきゅう
楽しい,たのしい
起きる,おきる
服を着る,ふくをきる
お店に行く,おみせにいく
病院,びょういん
質問,しつもん
待つ,まつ
試す,ためす
家族,かぞく
銀行,ぎんこう
早い,はやい
映画,えいが
親しい,したしい
試験,しけん
英語,えいご
医者,いしゃ
仕事,しごと
立ち去る,たちさる
味,あじ
写真,しゃしん
文字,もじ
答える,こたえる
夜,よる
音楽,おんがく
注意,ちゅうい
帰る,かえる
古い,ふるい
歌う,うたう
買う,かう
悪い,わるい
意図,いと
１週間,いっしゅうかん
教室,きょうしつ
歩く,あるく
風が強い,かぜがつよい
紙,かみ
黒い,くろい
花,はな
春,はる
赤,あか
青,あお
映画館,えいがかん
八百屋,やおや
色,いろ
走る,はしる
秋,あき
夏,なつ
習う,ならう
駅,えき
海洋,かいよう
旅行,りょこう
服を着る,ふくをきる
赤い夕やけ,あかいゆうやけ
借りる,かりる
金曜日,きんようび
飲む,のむ
肉料理,にくりょうり
貸してください,かしてください
食堂,しょくどう
鳥,とり
ご飯,ごはん
勉強,べんきょう
冬,ふゆ
昼間,ひるま
お茶,おちゃ
弟,おとうと
牛肉,ぎゅうにく
魚,さかな
兄弟,きょうだい
犬,いぬ
姉妹,しまい
姉,あね
漢字,かんじ
